game_description,occasion,genre,game_type,age_group,items_needed,difficulty
"Bollywood Song Antakshari",wedding,bollywood,activity,all,"Music system",easy
"Saree Draping Challenge",wedding,fun,activity,adults,"Sarees",medium
"Guess the Movie by Song",family,bollywood,quiz,all,"Music system",medium
"Tug of War",corporate,fun,activity,all,"Rope",easy
"Balloon Dance",birthday,fun,dance-off,kids,"Balloons",easy
"Paper Dance",wedding,fun,dance-off,adults,"Paper sheets",medium
"Blindfolded Musical Chairs",family,fun,activity,all,"Chairs, blindfold",medium
"Guess the Bollywood Dialogue",wedding,bollywood,quiz,adults,"Printed dialogues",medium
"Lemon Spoon Race",family,fun,activity,all,"Lemon, spoon",easy
"Passing the Parcel with Dares",birthday,fun,activity,all,"Parcel, music system",easy
"Mehendi Design Contest",wedding,fun,activity,adults,"Mehendi cones",medium
"Bollywood Dumb Charades",family,bollywood,charades,all,"Movies list",medium
"Matki Phod",festival,fun,activity,all,"Clay pot, rope",hard
"Bollywood Hook Step Challenge",wedding,bollywood,dance-off,adults,"Music system",medium
"Choodi Collect Race",wedding,fun,activity,all,"Colorful bangles",medium
"Name That Relative",wedding,fun,quiz,all,"Microphone",easy
"Guess the Festival Song",festival,bollywood,quiz,all,"Music system",medium
"Couple Compatibility Quiz",wedding,fun,quiz,adults,"Quiz sheets",medium
"Haldi Lemon Race",wedding,fun,activity,adults,"Haldi bowl, spoon",medium
"Photo Scavenger Hunt",family,fun,activity,all,"Phone/camera",medium
"Indian States Charades",corporate,fun,charades,all,"List of states",medium
"Find the Ring in Milk",wedding,fun,activity,adults,"Milk bowl, ring",medium
"Rangoli Competition",festival,fun,activity,all,"Colors, rangoli materials",hard
"Garba Dance-Off",festival,fun,dance-off,all,"Dandiya sticks, music",medium
"Guess the Traditional Dish",festival,fun,quiz,adults,"Dish samples",medium
"Turban Tying Race",wedding,fun,activity,adults,"Turbans",medium
"Bollywood Lip Sync Battle",sangeet,bollywood,dance-off,adults,"Music system",medium
"Diya Decoration Contest",festival,fun,activity,all,"Diyas, paints",easy
"Guess the Bollywood Villain",family,bollywood,quiz,adults,"Printed photos",medium
"Pot Balancing Race",festival,fun,activity,all,"Mud pots",hard
"Traditional Outfit Ramp Walk",wedding,fun,activity,all,"Traditional clothes",medium
"Henna Design Guess",wedding,fun,quiz,adults,"Mehendi designs",medium
"Rice & Spoon Relay",family,fun,activity,all,"Rice bowls, spoons",easy
"Movie Scenes Enact",family,bollywood,charades,all,"List of scenes",medium
"Funny Saree Walk",family,fun,activity,adults,"Sarees",easy
"Flower Garland Making",wedding,fun,activity,all,"Flowers, thread, needle",medium
"Guess the Raaga",festival,bollywood,quiz,adults,"Music system",hard
"Family Tree Puzzle",family,fun,quiz,all,"Printed tree template",medium
"Bangle Stacking Race",wedding,fun,activity,all,"Bangles",easy
"Kite Flying Contest",festival,fun,activity,all,"Kites, threads",hard
"Ethnic Quiz Challenge",corporate,fun,quiz,adults,"Quiz sheets",medium
"Guess the Wedding Ritual",wedding,fun,quiz,adults,"Printed list",medium
"Pani Puri Eating Contest",festival,fun,activity,all,"Pani puri setup",easy
"Navratri Thali Game",festival,fun,quiz,adults,"Thali, item list",medium
"Bollywood Song Puzzle",family,bollywood,quiz,all,"Puzzle sheets",medium
"Indian Folk Dance Face-Off",sangeet,fun,dance-off,adults,"Music system",hard
"Guess the Family Song",family,fun,quiz,all,"Music system",easy
"Kurta Button Race",wedding,fun,activity,kids,"Kurtas with buttons",easy
"Traditional Tongue Twister",corporate,fun,activity,all,"List of tongue twisters",easy
game_description,occasion,genre,game_type,age_group,items_needed,difficulty
